"单遮眼","hair over one eye one eye covered"
"鲸","arknights, bangs, white hair, expressionless, oceanolo, game cg, female, long hair, full body,battle, fingerless gloves, lolita fashion, medium breasts, formal, beret, bow, blue eyes, magazine scan, bare legs, garter strap, dark background, weapon, gothic lolita, high heels,solo focus,upper body,dutch angle,gradient background,starry sky ,game cg,solo,bangs,medium hair,white_hair/white_eyes,blue_hair/blue_eyes,looking away,standing,reaching,shaded face,taut shirt,denim shorts,black stocking,thigh boots,fingerless gloves,breasts,medium_breasts,neck ribbon"
"君主","military or naval uniform,ahoge,highres,white_hair/white_eyes,outstretched arm,facing viewer,standing,ponytail,large_breasts,gloves ,boots"
"万能负面","multiple breasts, (mutated hands and fingers:1.5 ), (long body :1.3), (mutation, poorly drawn :1.2) , black-white, bad anatomy, liquid body, liquid tongue, disfigured, malformed, mutated, anatomical nonsense, text font ui, error, malformed hands, long neck, blurred, lowers, lowres, bad anatomy, bad proportions, bad shadow, uncoordinated body, unnatural body, fused breasts, bad breasts, huge breasts, poorly drawn breasts, extra breasts, liquid breasts, heavy breasts, missing breasts, huge haunch, huge thighs, huge calf, bad hands, fused hand, missing hand"
"Persona 5 风格","official art, red background, flat color, partially colored, {persona 5}"
"花卉图案连衣裙（白）","white skirt dress, flower pattern in dress,white gow"
"花卉图案连衣裙（黑）","black skirt dress, flower pattern in dress,black gow"
"Ally ahijah","Ally ahijah  Powder coat  The blue eye"
"黑色礼服","black skirt dress, flower pattern in dress,black gown"
"白猫红瞳猫娘萝莉一脸嫌弃给你看胖次","realistic,white hair, red eyes,loli,annoyed, skirt lift, striped panties, cat girl"
"黑丝条纹质感（随缘生效）","{{{Leg stockings,：Compiled by thin filament lines arranged horizontally}}},{black stockings}"
"少女与异形","masterpiece, best quality, sky, on the ocean, in the ocean, comic, ojousama"
"手捧花（花嫁）","Holding the wedding bouquet with both hands"
"太空","ahoge,blue_hair/blue_eyes,standing,hand on own face,space,light smile,upper body,from side"
"烟花","best quality, masterpiece, highres, original, 1girl, extremely detailed 8K wallpaper, an extremely delicate and beautiful, (summer_festival), fireworks, cinematic lighting, depth of field"
"弦卷心","blonde hair,long hair,asymmetrical bangs,blonde_hair/yellow_eyes,arm up,white_thighhighs,young girl,extremely detailed CG unity 8k wallpaper,Cherry blossoms,mountain,double peace hand,one-piece dress,large_breasts"
"","genshin impact,lumine, the erotic expression,the look of a maiden,Cat ears,1girl,simple background,nsfw,[pants),messy,cum onbodyl),​we​t,mist,stream,cryingmedium breast,short curlymessy hair, (torn. clothes)l,nude,whiteclothes,streaming  tear,upperbody,The appearance of a child​"
"万能负面","​​lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet​​lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
