"text","lang_zh","subType","dir"
"from behind","背后视角",视角,
"full body","全身",画面,
"from above","高位视角",视角,
"from side","侧边视角",视角,
"blurry background","多人背景",视角,
"back focus","背后焦点",视角,
"hip focus","臀部焦点",视角,
"facing away","人物面朝远方(背对)",视角,
"profile","侧脸",视角,
"first-person view","第一人称",视角,
"pov","主观视角",视角,
"pov hands","手主观视角",视角,
"pov crotch","胯部主观视角",视角,
"reference sheet","三视图进阶",视角,
"official art","三视图进阶",视角,
"multiple views","多视图",视角,
"out of frame","人物超出框",画面,
"head out of frame","头超出框",画面,
"feet out of frame","足超出框",画面,
"upper body","上半身",画面,
"lower body","下半身",画面,
"cropped torso upper body","躯干下剪裁",画面,
"cropped shoulders","肩下剪裁",画面,
"cropped arms","手臂下剪裁",画面,
"cropped legs","腿下剪裁",画面,
"cowboy shot","牛仔特写",画面,
"portrait","人像",画面,
"close-up","特写",画面,
"selfiemirror","自拍",画面,
"dakimakura","抱枕",画面,
"expressions","表情表",画面,
"dutch angle","斜角镜头",镜头,
"intense angle","强烈镜头",镜头,
"cinematic angle","电影镜头",镜头,
"dramatic angle","戏剧性镜头",镜头,
"dynamic angle","动态镜头",镜头,
"wide shot","远景",镜头,
"perspective","透视",镜头,
"foreshortening","正前缩距",镜头,
"fisheye","鱼眼",镜头,
"upside-down","颠倒",镜头,
"motion blur","运动模糊",镜头,
"depth of field","景深",镜头,
"lens flare","镜头光晕",镜头,
"blurry background","模糊背景",背景,
"simple background","简单背景",背景,
"sunburst background","旭日纹背景",背景,
"gradient background","渐变背景",背景,
"zoom layer","缩放投影图层",背景,
"backlighting","背光",背景,
"drop shadow","投影阴影",背景,
"outline","轮廓线",背景,
"silhouette","剪影",背景,
"space","太空",背景建筑,
"cityscape","城市风景",背景建筑,
"skyscraper","摩天楼",背景建筑,
"ruins","废墟",背景建筑,
"torii","鸟居",背景建筑,
"nature","大自然",背景建筑,
"field","田园",背景建筑,
"ocean","海洋",背景建筑,
"beach","海边",背景建筑,
"lake","湖泊",背景建筑,
"river","河流",背景建筑,
"onsen","温泉",背景建筑,
"starry sky","星空",背景建筑,
"outdoors","室外",背景建筑,
"indoors","室内",背景建筑,
"tatami","塌塌米",背景建筑,
"no humans","无人",背景建筑,
"masterpiece","提取高质量数据",风格,
"highres","高分辨率",风格,
"Unity Creations","统一风格",风格,
"contour deepening","轮廓加深",风格,
"flat color","纯色块",风格,
"monochrome","单色",风格,
"greyscale","灰度",风格,
"high contrast","高对比度度",风格,
"partially colored","部分着色",风格,
"chromatic aberration","色差色失焦",风格,
"comic","漫画",风格,
"capanime screencap","动画截图",风格,
"sketch","素描",风格,
"pixel art","像素风",风格,
"chibi","Q版",风格,
"art nouveau","新艺术运动(慕夏)",风格,
"realistic","现实的",风格,
"retro artstyle","复古风格",风格,
"1980s (style)","1980风格",风格,
"1990s (style)","1990风格",风格,
"megami magazine","女神杂志",风格,
"doujinshi doujin cover","同人志风",风格,
"card games","卡牌风",风格,
"photo (medium)","照片",媒体,
"watercolor (medium)","水彩",媒体,
"oil painting (medium)","油画",媒体,
"colored pencil (medium)","彩色铅笔",媒体,
"graphite (medium)","铅笔画",媒体,
"marker (medium)","马克笔",媒体,
"nib pen (medium)","签字笔",媒体,
"ballpoint pen (medium)","原子笔",媒体,
"acrylic paint (medium)","丙烯颜料",媒体,
"ahoge","呆毛",头发,
"bangs","刘海",头发,
"blunt_bangs","齐刘海",头发,
"curly_hair","卷发",头发,
"drill_hair","钻头卷/公主卷",头发,
"hair_bun","包子头",头发,
"double_bun","包子头(两个)",头发,
"ponytail","马尾",头发,
"short_ponytail","短马尾",头发,
"side_ponytail","侧马尾",头发,
"messy_hair","凌乱发型",头发,
"hime_cut","姬发式",头发,
"payot","长鬓角",头发,
"wavy_hair","波浪发型",头发,
"silver_hair/silver_eyes","银发/银眼",颜色,
"grey_hair/grey_eyes","灰发/灰眼",颜色,
"white_hair/white_eyes","白发/白眼",颜色,
"brown_hair/brown_eyes","棕发/棕眼",颜色,
"black_hair/black_eyes","黑发/黑眼",颜色,
"purple_hair/purple_eyes","紫发/紫眼",颜色,
